,Year,Wins,Loses,Ties,TOTAL FIRST DOWNS TOTAL 1ST DOWNS,FIRST DOWNS 1ST DOWNS Rushing,FIRST DOWNS 1ST DOWNS Passing,FIRST DOWNS 1ST DOWNS By Penalty,THIRD DOWN CONVERSIONS,FOURTH DOWN CONVERSIONS,TOTAL OFFENSIVE YARDS,OFFENSE Plays, OFFENSE Average Yards,TOTAL RUSHING YARDS,RUSHING Plays,Rushing Average Yards,TOTAL PASSING YARDS,PASSING Comp,PASSING Att,PASSING Int,PASSING Avg,SACKS,FIELD GOALS,TOUCHDOWNS,TOUCHDOWNS Rushing,TOUCHDOWNS Passing,TOUCHDOWNS Returns,TOUCHDOWNS Defensive,TURNOVER RATIO,Went to Superbowl,Won Superbowl
0,1992,11,5,0,3731,1769,1756,206,1029 / 2658,89 / 177,4980,1009,4.9,2388,516,4.6,3054,255,429,13,7.1,64,16 / 25,43,19,20,1,3,9,0,0
1,1993,8,8,0,3828,1327,2315,186,1165 / 2817,89 / 198,4922,1054,4.7,1761,456,3.9,3463,328,556,13,6.2,42,16 / 23,34,7,23,0,5,1,0,0
2,1994,7,9,0,3694,1308,2114,272,1282 / 3057,74 / 210,5125,1046,4.9,1761,432,4.1,3736,316,566,14,6.6,48,21 / 25,35,14,18,1,2,9,0,0
3,1995,10,6,0,3672,1597,1835,240,1131 / 2947,125 / 212,4807,1050,4.6,2121,508,4.2,2931,284,496,19,5.9,46,22 / 30,32,19,11,1,4,2,0,0
4,1996,10,6,0,4314,1453,2643,218,1120 / 2959,81 / 202,5627,1076,5.2,1882,489,3.8,3979,328,548,18,7.3,39,25 / 29,38,16,19,2,4,-1,0,0
5,1997,6,9,1,4328,1406,2690,232,1199 / 3209,183 / 290,5590,1116,5,1943,465,4.2,4009,330,587,16,6.8,64,22 / 31,35,11,22,1,2,-6,0,0
6,1998,3,13,0,3394,1137,1841,416,1053 / 3155,91 / 298,4188,1017,4.1,1775,427,4.2,2730,282,534,18,5.1,56,14 / 21,17,10,7,0,0,-9,0,0
7,1999,5,11,0,2905,1011,1637,257,982 / 3174,79 / 120,3830,947,4,1746,424,4.1,2405,235,474,18,5.1,49,21 / 31,29,5,18,1,5,7,0,0
8,2000,11,5,0,295,88,182,25,90 / 224,7 / 11,5006,1017,4.9,1882,397,4.7,3386,331,575,15,5.9,45,29 / 33,38,13,21,2,2,2,0,0
9,2001,11,5,0,256,90,146,20,68 / 220,9 / 13,4923,974,5,1778,412,4.3,3427,300,522,14,6.6,40,26 / 31,36,6,27,1,4,9,0,0
10,2002,12,4,0,311,124,164,23,90 / 231,8 / 16,5604,1073,5.2,2220,489,4.5,3606,318,548,11,6.6,36,30 / 34,45,15,27,1,3,13,0,0
11,2003,12,4,0,302,105,156,41,69 / 190,3 / 7,5035,944,5.3,2015,417,4.8,3273,279,484,11,6.8,43,24 / 29,43,23,17,2,1,4,0,0
12,2004,13,3,0,301,87,188,26,72 / 195,0 / 4,5618,960,5.8,1639,376,4.4,4208,336,547,11,7.7,37,27 / 32,44,10,32,0,2,6,1,0
13,2005,6,10,0,283,73,182,28,72 / 220,3 / 12,5109,1027,5,1432,365,3.9,3903,337,620,20,6.3,42,22 / 29,34,11,21,0,2,-7,0,0
14,2006,10,6,0,312,106,189,17,88 / 209,5 / 11,6103,988,6.2,1984,416,4.8,4309,323,544,9,7.9,28,18 / 23,48,13,31,0,5,5,0,0
15,2007,8,8,0,323,118,186,19,97 / 229,9 / 15,5729,1047,5.5,1974,421,4.7,4005,350,577,15,6.9,49,24 / 32,38,12,24,0,0,-8,0,0
16,2008,9,6,1,318,94,204,20,93 / 225,4 / 9,5608,1056,5.3,1697,427,4,4060,362,606,16,6.7,23,33 / 40,42,15,23,2,5,3,0,0
17,2009,11,5,0,290,87,182,21,75 / 207,6 / 14,5726,975,5.9,1637,384,4.3,4380,335,553,13,7.9,38,32 / 37,45,14,27,2,4,15,0,0
18,2010,10,6,0,322,116,189,17,85 / 214,9 / 13,6230,1038,6,2324,428,5.4,4215,348,561,13,7.5,49,32 / 38,48,18,28,1,2,9,0,0
19,2011,8,8,0,356,134,197,25,85 / 205,7 / 15,6386,1036,6.2,2276,450,5.1,4276,330,554,25,7.7,32,24 / 27,43,20,22,0,4,-14,0,0
20,2012,4,12,0,332,111,190,31,83 / 222,14 / 24,5665,1079,5.2,1874,413,4.5,4075,367,618,15,6.6,48,27 / 31,29,10,18,1,0,-24,0,0
21,2013,10,6,0,355,133,197,25,83 / 213,7 / 14,6676,1054,6.3,2566,500,5.1,4406,310,508,9,8.7,46,23 / 28,52,19,32,0,1,12,0,0
22,2014,10,6,0,356,109,218,29,103 / 237,7 / 11,6348,1127,5.6,1992,474,4.2,4581,384,621,21,7.4,32,32 / 36,52,16,27,4,4,-8,0,0
23,2015,7,9,0,339,110,193,36,91 / 230,8 / 16,5830,1102,5.3,1743,442,3.9,4341,405,623,18,7,37,21 / 26,44,15,23,2,4,-5,0,0
24,2016,7,9,0,333,114,192,27,85 / 224,13 / 27,5398,1080,5,1813,438,4.1,3798,380,609,14,6.2,33,35 / 41,37,16,16,2,3,6,0,0
25,2017,13,3,0,338,108,193,37,96 / 230,17 / 26,5852,1073,5.4,2115,473,4.5,3967,341,564,9,7,36,29 / 34,49,9,38,0,5,10,1,1
26,2018,9,7,0,346,94,221,31,84 / 205,14 / 23,5845,1037,5.6,1570,398,3.9,4524,422,599,11,7.6,40,26 / 31,41,12,29,0,0,-6,0,0
27,2019,9,7,0,354,104,215,35,104 / 229,8 / 24,5772,1104,5.2,1939,454,4.3,4063,391,613,8,6.6,37,22 / 26,44,16,27,0,3,-3,0,0
28,2020,4,11,1,336,114,177,45,82 / 220,15 / 35,5354,1066,5,2027,403,5,3728,334,598,20,6.2,65,14 / 19,41,16,22,1,2,-10,0,0
29,2021,9,8,0,352,163,167,22,101 / 221,11 / 24,6169,1086,5.7,2715,550,4.9,3585,307,494,10,7.3,31,30 / 33,47,25,20,0,5,0,0,0
